epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54568,0.92707,2.18839,1.01499,0,0,0,0,0.80664,2.21403,0.93855,0.0838,0.0018,0.0018
2,11.4017,0.86375,0.9498,0.99206,0.63063,0.33889,0.49147,0.35088,1.50385,1.90815,1.38374,0.0666634,0.00366337,0.00366337
3,16.3515,0.86914,0.83838,0.99996,0.18294,0.56287,0.21647,0.12289,1.54841,34.4403,1.56654,0.0494891,0.00548912,0.00548912
4,21.0297,0.83509,0.76236,0.98949,0.41655,0.75051,0.62383,0.44469,0.98645,9.52723,1.33285,0.0322773,0.00727725,0.00727725
5,25.7754,0.82849,0.7382,0.98826,0.87908,0.72947,0.91309,0.71575,0.89443,1.43432,1.02776,0.0150278,0.00902776,0.00902776
6,30.797,0.79307,0.67721,0.96001,0.77453,0.85654,0.95965,0.7613,0.90029,3.69098,1.02411,0.009505,0.009505,0.009505
7,35.6884,0.77706,0.63722,0.96466,0.93397,0.99259,0.98867,0.81888,0.73743,1.34514,0.93188,0.009406,0.009406,0.009406
8,40.6228,0.75728,0.60887,0.94204,0.8513,0.99269,0.99469,0.85169,0.64578,2.54242,0.86323,0.009307,0.009307,0.009307
9,45.4165,0.70217,0.57012,0.93821,0.97391,1,0.99056,0.82514,0.72861,0.84632,0.91327,0.009208,0.009208,0.009208
10,50.2462,0.6626,0.53948,0.91904,0.98239,1,0.995,0.85658,0.64556,0.93491,0.87348,0.009109,0.009109,0.009109
11,55.1069,0.69954,0.54263,0.94438,0.89837,1,0.95618,0.76647,0.72635,0.831,0.95253,0.00901,0.00901,0.00901
12,59.654,0.70237,0.54012,0.94821,0.95463,0.984,0.995,0.86589,0.59931,0.73025,0.86225,0.008911,0.008911,0.008911
13,64.193,0.66211,0.53888,0.92612,0.94716,0.98564,0.99031,0.85893,0.59337,1.88053,0.88556,0.008812,0.008812,0.008812
14,68.7773,0.64218,0.54276,0.92607,1,0.98711,0.995,0.86528,0.61301,0.75083,0.86082,0.008713,0.008713,0.008713
15,73.1781,0.6626,0.50998,0.93582,0.79861,0.92997,0.83764,0.69782,0.83917,0.97193,0.94741,0.008614,0.008614,0.008614
16,77.6594,0.68676,0.51239,0.94265,0.81188,0.7967,0.79468,0.64937,0.87704,0.93876,0.95686,0.008515,0.008515,0.008515
17,81.9949,0.65798,0.49137,0.92353,0.99437,1,0.995,0.81967,0.7386,0.51644,0.90413,0.008416,0.008416,0.008416
18,86.6599,0.65031,0.46422,0.92855,0.98117,0.98995,0.99442,0.80998,0.74861,0.50674,0.90936,0.008317,0.008317,0.008317
19,91.1937,0.65415,0.46825,0.9329,0.98958,0.99242,0.99273,0.8378,0.63446,0.5388,0.86899,0.008218,0.008218,0.008218
20,95.8034,0.61628,0.46775,0.92035,0.98916,0.99877,0.995,0.88044,0.54752,0.42062,0.84515,0.008119,0.008119,0.008119
21,100.404,0.66465,0.46892,0.92349,0.99484,1,0.995,0.85806,0.62504,0.40848,0.88264,0.00802,0.00802,0.00802
22,104.947,0.62889,0.4577,0.93001,0.99811,1,0.995,0.89936,0.50492,0.38321,0.83746,0.007921,0.007921,0.007921
23,109.428,0.62212,0.43239,0.92506,0.99766,1,0.995,0.91014,0.46564,0.35319,0.82246,0.007822,0.007822,0.007822
24,113.979,0.57731,0.42382,0.90361,1,1,0.995,0.89839,0.51079,0.36754,0.828,0.007723,0.007723,0.007723
25,118.462,0.58541,0.4151,0.92025,0.99604,1,0.995,0.89284,0.50507,0.38071,0.83675,0.007624,0.007624,0.007624
26,122.879,0.60718,0.43043,0.92827,0.99444,1,0.995,0.89041,0.50329,0.3525,0.835,0.007525,0.007525,0.007525
